gene,length_aa,MW_kDa
CPAR2_806240,328,36.9
CPAR2_805390,740,82.64
CPAR2_804060,2218,247.68
CPAR2_212320,305,33.66
CPAR2_210140,757,87.37
CPAR2_406330,604,70.66
CPAR2_405240,317,34.01
CPAR2_106030,451,51.86
CPAR2_107360,242,28.41
CPAR2_204700,323,36.67
CPAR2_108210,547,60.12
CPAR2_603750,229,26.71
CPAR2_601570,1088,124.68
CPAR2_304300,655,69.57
CPAR2_600480,470,52.15
CPAR2_404160,615,68.9
CPAR2_502810,265,28.64
CPAR2_808670,336,36.17
CPAR2_100500,368,41.23
CPAR2_101830,524,57.25
CPAR2_406320,348,39.63
CPAR2_204710,946,102.02
CPAR2_210150,555,62.01
CPAR2_108220,551,60.85
CPAR2_109550,249,27.78
CPAR2_600250,349,38.24
CPAR2_302110,351,38.72
CPAR2_406570,550,63.86
CPAR2_502820,522,58.71
CPAR2_300170,230,25.27
CPAR2_200560,379,40.19
CPAR2_703140,395,44.7
CPAR2_500880,550,59.31
CPAR2_808200,492,52.81
CPAR2_212100,459,50.33
CPAR2_204960,483,54.49
CPAR2_404130,621,69.47
CPAR2_206900,486,55.08
CPAR2_600460,567,62.52
CPAR2_107590,164,18.18
CPAR2_603730,426,49.45
CPAR2_501500,691,77.54
CPAR2_801800,1237,138.28
CPAR2_208090,267,30.83
CPAR2_808650,371,40.94
CPAR2_808410,518,58.39
CPAR2_807340,555,64.35
CPAR2_203880,256,28.83
CPAR2_213200,519,56.83
CPAR2_203640,501,56.7
CPAR2_203400,235,27.49
CPAR2_205820,285,30.59
CPAR2_403030,455,49.9
CPAR2_109530,382,42.03
CPAR2_603740,233,27.04
CPAR2_108690,482,53.92
CPAR2_406790,310,35.17
CPAR2_201630,533,59.43
CPAR2_302370,322,36.35
CPAR2_301040,804,91.25
CPAR2_209190,202,24.38
CPAR2_808660,283,32.38
CPAR2_101810,294,32.61
CPAR2_808420,444,48.87
CPAR2_101860,576,64.03
CPAR2_203890,491,54.8
CPAR2_101620,520,57.48
CPAR2_205830,465,50.63
CPAR2_701140,640,71.4
CPAR2_213450,492,55.33
CPAR2_204740,415,44.64
CPAR2_211030,333,37.5
CPAR2_108010,574,66.0
CPAR2_301470,542,60.02
CPAR2_302320,171,19.37
CPAR2_110330,1034,112.19
CPAR2_602620,488,55.57
CPAR2_801820,565,62.07
CPAR2_703570,581,64.88
CPAR2_601770,371,40.61
CPAR2_800970,336,35.96
CPAR2_500430,279,30.69
CPAR2_603710,303,32.73
CPAR2_203660,1627,187.88
CPAR2_401910,687,77.19
CPAR2_100300,509,56.93
CPAR2_211040,472,52.52
CPAR2_804090,628,71.11
CPAR2_205600,137,15.3
CPAR2_301460,515,57.66
CPAR2_110340,581,66.08
