reaction	gene	substrate_kegg
R00894__cyto	XP_085453936.1	C00025
R00894__cyto	XP_085453936.1	C00097
R03416__mito	XP_085453396.1	C04438
R03936__cyto	XP_085453106.1	C02700
R00658__cyto	XP_085453107.1	C00631
R00763__cyto	XP_085452195.1	C00665
R00763__cyto	XP_085455657.1	C00665
R00763__cyto	XP_085450454.1	C00665
R00763__cyto	XP_085455705.1	C00665
R00763__cyto	XP_085454014.1	C00665
R00763__cyto	XP_085455684.1	C00665
R00763__cyto	XP_085450809.1	C00665
R12120__cyto	XP_085452763.1	C03024
R12120__cyto	XP_085452763.1	C21920
R08657__mito	XP_085454125.1	C01967
R08657__mito	XP_085454125.1	C00093
R04355__cyto	XP_085450519.1	C01209
R04355__cyto	XP_085450519.1	C03939
R04355__cyto	XP_085450368.1	C01209
R04355__cyto	XP_085450368.1	C03939
R04591__cyto	XP_085454692.1	C04751
R04591__cyto	XP_085454692.1	C00049
R02485__cyto	XP_085455436.1	C00881
R00527__cyto	XP_085453380.1	C01031
R02590__cyto	XP_085450973.1	C06459
R02590__cyto	XP_085450973.1	C00063
R01351__cyto	XP_085452095.1	C01885
R03893__cyto	XP_085450431.1	C04431
R00489__cyto	XP_085453922.1	C00049
R00489__cyto	XP_085454568.1	C00049
R03352__cyto	XP_085451777.1	C04047
R03352__cyto	XP_085454314.1	C04047
R03352__cyto	XP_085453593.1	C04047
R04726__pero	XP_085450519.1	C01209
R04726__pero	XP_085450519.1	C05223
R04726__pero	XP_085450368.1	C01209
R04726__pero	XP_085450368.1	C05223
R00848__mito	XP_085454125.1	C00093
R07895__cyto	XP_085452799.1	C16335
R07895__cyto	XP_085452799.1	C00024
R01072__cyto	XP_085450394.1	C00119
R01072__cyto	XP_085450394.1	C00064
R01187__cyto	XP_085452195.1	C04006
R01187__cyto	XP_085455657.1	C04006
R01187__cyto	XP_085450454.1	C04006
R01187__cyto	XP_085455705.1	C04006
R01187__cyto	XP_085454014.1	C04006
R01187__cyto	XP_085455684.1	C04006
R01187__cyto	XP_085450809.1	C04006
R02464__cyto	XP_085452156.1	C01120
R00548__cyto	XP_085455287.1	C00061
R00548__cyto	XP_085452803.1	C00061
R00768__cyto	XP_085454342.1	C00085
R00768__cyto	XP_085454342.1	C00064
R00243__cyto	XP_085450770.1	C00025
R03293__cyto	XP_085455185.1	C01157
R04639__cyto	XP_085450867.1	C06148
R03657__cyto	XP_085454092.1	C01645
R03657__cyto	XP_085454092.1	C00123
R03657__cyto	XP_085453037.1	C01645
R03657__cyto	XP_085453037.1	C00123
R01466__cyto	XP_085451280.1	C01102
R03652__cyto	XP_085454975.1	C01640
R03652__cyto	XP_085454975.1	C00064
R02295__cyto	XP_085452422.1	C05841
R09419__cyto	XP_085453332.1	C00040
R09419__cyto	XP_085453332.1	C00083
R09419__cyto	XP_085455607.1	C00040
R09419__cyto	XP_085455607.1	C00083
R09076__cyto	XP_085451092.1	C00750
R07764__cyto	XP_085452695.1	C16220
R07764__cyto	XP_085454552.1	C16220
R07764__cyto	XP_085454029.1	C16220
R00827__cyto	XP_085453724.1	C00090
R00827__cyto	XP_085453181.1	C00090
R00827__cyto	XP_085453159.1	C00090
R00827__cyto	XP_085452032.1	C00090
R00827__cyto	XP_085454829.1	C00090
R00827__cyto	XP_085455431.1	C00090
R00827__cyto	XP_085454410.1	C00090
R00827__cyto	XP_085454129.1	C00090
R00827__cyto	XP_085454643.1	C00090
R00827__cyto	XP_085454636.1	C00090
R00827__cyto	XP_085454277.1	C00090
R00827__cyto	XP_085452734.1	C00090
R00827__cyto	XP_085452745.1	C00090
R00827__cyto	XP_085454330.1	C00090
R02249__cyto	XP_085452195.1	C03475
R02249__cyto	XP_085455657.1	C03475
R02249__cyto	XP_085450454.1	C03475
R02249__cyto	XP_085455705.1	C03475
R02249__cyto	XP_085454014.1	C03475
R02249__cyto	XP_085455684.1	C03475
R02249__cyto	XP_085450809.1	C03475
R03357__cyto	XP_085454179.1	C04036
R03357__cyto	XP_085454535.1	C04036
R03357__cyto	XP_085454953.1	C04036
R03357__cyto	XP_085450463.1	C04036
R03357__cyto	XP_085455215.1	C04036
R03357__cyto	XP_085454977.1	C04036
R03357__cyto	XP_085454552.1	C04036
R02874__cyto	XP_085453095.1	C03024
R02874__cyto	XP_085453095.1	C00751
R00248__cyto	XP_085453432.1	C00025
R00248__cyto	XP_085453556.1	C00025
R01372__cyto	XP_085452075.1	C00166
R08310__cyto	XP_085454475.1	C16595
R08310__cyto	XP_085455283.1	C16595
R08310__cyto	XP_085455234.1	C16595
R08310__cyto	XP_085450897.1	C16595
R02003__cyto	XP_085454813.1	C00129
R02003__cyto	XP_085454813.1	C00341
R02003__cyto	XP_085453885.1	C00129
R02003__cyto	XP_085453885.1	C00341
R04955__cyto	XP_085451602.1	C05748
R00674__cyto	XP_085455034.1	C00463
R00674__cyto	XP_085455034.1	C00065
R07070__cyto	XP_085452146.1	C00051
R07070__cyto	XP_085452146.1	C14840
R07070__cyto	XP_085455726.1	C00051
R07070__cyto	XP_085455726.1	C14840
R07070__cyto	XP_085452152.1	C00051
R07070__cyto	XP_085452152.1	C14840
R07070__cyto	XP_085452493.1	C00051
R07070__cyto	XP_085452493.1	C14840
R02849__cyto	XP_085450664.1	C00738
R02849__cyto	XP_085450664.1	C00081
R02849__cyto	XP_085455502.1	C00738
R02849__cyto	XP_085455502.1	C00081
R02849__cyto	XP_085451463.1	C00738
R02849__cyto	XP_085451463.1	C00081
R02849__cyto	XP_085451797.1	C00738
R02849__cyto	XP_085451797.1	C00081
R02413__cyto	XP_085452194.1	C00493
R01398__cyto	XP_085451380.1	C00077
R01398__cyto	XP_085451380.1	C00169
R04208__cyto	XP_085453937.1	C04640
R12366__cyto	XP_085453729.1	C22111
R12366__cyto	XP_085454953.1	C22111
R12366__cyto	XP_085454977.1	C22111
R12366__cyto	XP_085454552.1	C22111
R12366__cyto	XP_085454179.1	C22111
R01030__cyto	XP_085450963.1	C00670
R08306__mito	XP_085454475.1	C16586
R08306__mito	XP_085455283.1	C16586
R08306__mito	XP_085455234.1	C16586
R08306__mito	XP_085450897.1	C16586
R00264__cyto	XP_085453865.1	C00433
R00264__cyto	XP_085452122.1	C00433
R00264__cyto	XP_085454779.1	C00433
R03416__cyto	XP_085453396.1	C04438
R08551__cyto	XP_085451293.1	C03161
R01956__cyto	XP_085455643.1	C00328
R01956__cyto	XP_085455643.1	C00026
R02722__cyto	XP_085455034.1	C03506
R02722__cyto	XP_085455034.1	C00065
R00220__pero	XP_085454794.1	C00065
R00220__pero	XP_085452883.1	C00065
R00220__pero	XP_085454743.1	C00065
R02549__cyto	XP_085453865.1	C00555
R02549__cyto	XP_085452122.1	C00555
R02549__cyto	XP_085454779.1	C00555
R02029__mito	XP_085451970.1	C03892
R02739__cyto	XP_085453621.1	C00668
R02739__cyto	XP_085451881.1	C00668
R08221__cyto	XP_085455436.1	C16635
R00351__pero	XP_085454362.1	C00024
R00351__pero	XP_085454362.1	C00036
R08310__mito	XP_085454475.1	C16595
R08310__mito	XP_085455283.1	C16595
R08310__mito	XP_085455234.1	C16595
R08310__mito	XP_085450897.1	C16595
