reaction,kcat_per_s,best_gene,best_substrate,n_substrates
R00894__cyto,10.7577,XP_025343215.1,C00025,2
R03936__cyto,2.965,XP_025342242.1,C02700,1
R00658__cyto,15.6434,XP_025342243.1,C00631,1
R00763__cyto,17.5541,XP_025342994.1,C00665,7
R12120__cyto,2.3249,XP_025344294.1,C21920,1
R08657__mito,13.6046,XP_025340956.1,C00093,2
R04591__cyto,19.1185,XP_025341488.1,C04751,2
R02485__cyto,226.6256,XP_025343059.1,C00881,1
R00527__cyto,10.2899,XP_025340056.1,C01031,1
R02590__cyto,1.2496,XP_025341674.1,C06459,2
R03893__cyto,147.8275,XP_025343544.1,C04431,1
R00489__cyto,2.9708,XP_025343228.1,C00049,2
R03352__cyto,26.8523,XP_025339645.1,C04047,3
R00848__mito,13.6046,XP_025340956.1,C00093,1
R07895__cyto,0.4195,XP_025344328.1,C00024,2
R01072__cyto,5.9984,XP_025343583.1,C00119,2
R01187__cyto,11.4647,XP_025342994.1,C04006,7
R02464__cyto,16.5003,XP_025343721.1,C01120,1
R00548__cyto,84.7469,XP_025344333.1,C00061,3
R00768__cyto,0.0946,XP_025341162.1,C00064,2
R00243__cyto,3.1364,XP_025341877.1,C00025,1
R03293__cyto,24.4865,XP_025340638.1,C01157,1
R04639__cyto,3.2831,XP_025341690.1,C06148,1
R03657__cyto,5.1793,XP_025340926.1,C00123,2
R01466__cyto,5.265,XP_025344615.1,C01102,1
R03652__cyto,1.0005,XP_025340437.1,C00064,1
R02295__cyto,2.2779,XP_025343966.1,C05841,1
R09419__cyto,0.5379,XP_025340013.1,C00083,2
R09076__cyto,7.592,XP_025344769.1,C00750,1
R00827__cyto,16.6612,XP_025341435.1,C00090,14
R03357__cyto,71.4458,XP_025341340.1,C04036,7
R02874__cyto,6.1642,XP_025342230.1,C00751,1
R00248__cyto,17.3267,XP_025339952.1,C00025,2
R01372__cyto,28.2676,XP_025342817.1,C00166,1
R08310__cyto,130.6363,XP_025340682.1,C16595,4
R02003__cyto,0.2157,XP_025340303.1,C00341,4
R00674__cyto,3.5452,XP_025340496.1,C00065,2
R07070__cyto,43.3824,XP_025344035.1,C00051,4
R02849__cyto,50.6207,XP_025343315.1,C00081,8
R02413__cyto,4.4121,XP_025343755.1,C00493,1
R01398__cyto,96.693,XP_025344522.1,C00169,2
R04208__cyto,3.7794,XP_025343214.1,C04640,1
R12366__cyto,6.9096,XP_025341358.1,C22111,5
R01030__cyto,3.6859,XP_025341788.1,C00670,1
R08306__mito,83.0846,XP_025340682.1,C16586,4
R00264__cyto,106.7581,XP_025343288.1,C00433,3
R01956__cyto,208.6766,XP_025342955.1,C00026,2
R02722__cyto,3.7148,XP_025340496.1,C03506,2
R00220__pero,11.6792,XP_025342032.1,C00065,3
R02549__cyto,29.8275,XP_025343288.1,C00555,3
R02739__cyto,106.4921,XP_025342634.1,C00668,2
R08221__cyto,215.3992,XP_025343059.1,C16635,1
R00351__pero,158.9636,XP_025341180.1,C00036,2
R08310__mito,130.6363,XP_025340682.1,C16595,4
R01330__cyto,41.9897,XP_025343315.1,C00159,4
R01626__mito,3.681,XP_025344154.1,C00083,1
R05801__cyto,56.544,XP_025344429.1,C11555,1
R00227__cyto,1.3581,XP_025342529.1,C00024,2
R01220__mito,36.4672,XP_025342445.1,C00143,2
R02439__mito,62.8842,XP_025344429.1,C00508,1
R01288__cyto,15.0484,XP_025340376.1,C00283,2
R07396__cyto,14.706,XP_025340820.1,C01180,2
R02853__cyto,249.8153,XP_025344429.1,C02532,1
R03036__cyto,21.1897,XP_025344566.1,C00882,4
R05002__cyto,31.4946,XP_025344360.1,C00096,54
R01960__cyto,12.2946,XP_025340157.1,C00328,1
R02113__cyto,31.9878,XP_025344360.1,C00029,54
R01051__cyto,59.2346,XP_025342921.1,C00121,1
R00974__cyto,3.4366,XP_025342707.1,C00380,1
R03661__cyto,18.7844,XP_025343820.1,C00148,2
R00344__mito,6.2501,XP_025342524.1,C00022,2
R07024__cyto,43.3824,XP_025344035.1,C00051,4
R00278__cyto,1.4882,XP_025344481.1,C00627,2
R07084__cyto,43.3824,XP_025344035.1,C00051,4
R01965__cyto,242.1024,XP_025344668.1,C00329,2
R02558__cyto,0.6755,XP_025341985.1,C00844,3
R00602__cyto,214.0214,XP_025343574.1,C00027,2
R01736__cyto,91.3257,XP_025339554.1,C03451,1
R01626__cyto,3.681,XP_025344154.1,C00083,1
R05733__cyto,0.7121,XP_025342552.1,C04814,2
R01209__mito,1.0432,XP_025342005.1,C04039,1
R00316__cyto,15.7793,XP_025340510.1,C00033,2
R03601__cyto,14.3325,XP_025340642.1,C00979,2
R08120__cyto,1.6614,XP_025343544.1,C16477,1
R01600__cyto,41.9897,XP_025343315.1,C00221,3
